model,overall_ndcg@5,domestic_ndcg@5,international_ndcg@5,international_minus_domestic_ndcg@5,domestic_booked_recall@5,international_booked_recall@5,international_minus_domestic_recall@5,domestic_top1_hit_rate,international_top1_hit_rate,domestic_mean_booked_rank,international_mean_booked_rank,num_domestic_searches,num_international_searches,num_domestic_booked_searches,num_international_booked_searches
Original LightGBM Ranker,0.407387,0.415148,0.393807,-0.02134,0.63317,0.604303,-0.028867,0.243811,0.231681,6.064604,6.489242,25781,14284,18420,9621
International re-weighted LightGBM Ranker,0.405071,0.412579,0.391198,-0.021382,0.631216,0.60264,-0.028576,0.239034,0.226899,6.097177,6.53747,25781,14284,18420,9621
