feature,importance,model,weight
search_month,432,B_old_best,0.5
log_booking_window,426,B_old_best,0.5
promotion_x_price_ratio_mean,422,B_old_best,0.5
search_dayofweek,416,B_old_best,0.5
prop_country_id,409,B_old_best,0.5
prop_dest_mean_location2,393,B_old_best,0.5
promotion_x_price_ratio_median,372,B_old_best,0.5
total_guests,349,B_old_best,0.5
log_orig_destination_distance,344,B_old_best,0.5
prop_id_median_log_price,342,B_old_best,0.5
brand_x_review,332,B_old_best,0.5
prop_id_mean_location_score1,318,B_old_best,0.5
srch_adults_count,318,B_old_best,0.5
children_x_review,315,B_old_best,0.5
promotion_x_location1,311,B_old_best,0.5
comp5_rate_percent_diff,308,B_old_best,0.5
star_diff_from_search_max,304,B_old_best,0.5
comp_same_price_count,264,B_old_best,0.5
dest_id_te_log_count,261,B_old_best,0.5
brand_x_star,251,B_old_best,0.5
prop_review_score,239,B_old_best,0.5
site_dest_te_log_count,233,B_old_best,0.5
prop_id_te_log_count,229,B_old_best,0.5
review_diff_from_search_max,227,B_old_best,0.5
comp2_rate_percent_diff,227,B_old_best,0.5
visitor_hist_starrating,219,B_old_best,0.5
comp5_rate,192,B_old_best,0.5
multiroom_x_price_ratio,179,B_old_best,0.5
comp8_rate_percent_diff,155,B_old_best,0.5
promotion_x_review,148,B_old_best,0.5
comp_pct_missing_count,145,B_old_best,0.5
prop_dest_te_log_count,145,B_old_best,0.5
comp_rate_missing_count,141,B_old_best,0.5
comp3_rate_percent_diff,139,B_old_best,0.5
visitor_prop_country_te_log_count,137,B_old_best,0.5
price_usd_capped,131,B_old_best,0.5
srch_saturday_night_bool,116,B_old_best,0.5
comp_available_count,110,B_old_best,0.5
comp_expedia_cheaper_count,107,B_old_best,0.5
log_length_of_stay,104,B_old_best,0.5
comp8_rate,98,B_old_best,0.5
search_review_max,96,B_old_best,0.5
domestic_search,95,B_old_best,0.5
srch_children_count,94,B_old_best,0.5
comp_inv_missing_count,93,B_old_best,0.5
prop_starrating,88,B_old_best,0.5
search_star_max,88,B_old_best,0.5
comp2_rate,85,B_old_best,0.5
comp_expedia_more_expensive_count,84,B_old_best,0.5
is_4_star,78,B_old_best,0.5
promotion_x_star,64,B_old_best,0.5
multiroom_x_review,59,B_old_best,0.5
comp2_inv,56,B_old_best,0.5
comp3_rate,50,B_old_best,0.5
comp5_inv,49,B_old_best,0.5
comp8_inv,42,B_old_best,0.5
comp3_inv,40,B_old_best,0.5
search_quarter,40,B_old_best,0.5
prop_id_mean_review_score,32,B_old_best,0.5
comp7_rate_percent_diff,30,B_old_best,0.5
comp_no_inv_data_count,30,B_old_best,0.5
comp7_rate,27,B_old_best,0.5
comp_unavailable_count,27,B_old_best,0.5
location1_diff_from_prop_mean,24,B_old_best,0.5
orig_destination_distance_missing,23,B_old_best,0.5
price_usd_clipped,19,B_old_best,0.5
comp6_rate,18,B_old_best,0.5
srch_query_affinity_score_missing,17,B_old_best,0.5
comp1_rate_percent_diff,15,B_old_best,0.5
comp4_rate_percent_diff,15,B_old_best,0.5
comp4_rate,13,B_old_best,0.5
comp7_inv,13,B_old_best,0.5
comp6_inv,12,B_old_best,0.5
comp3_inv_missing,11,B_old_best,0.5
search_is_weekend,11,B_old_best,0.5
log_price_usd,11,B_old_best,0.5
comp5_rate_percent_diff_missing,10,B_old_best,0.5
srch_room_count,10,B_old_best,0.5
comp_has_any_pct_data,10,B_old_best,0.5
high_review_score,10,B_old_best,0.5
comp_no_rate_data_count,10,B_old_best,0.5
comp5_rate_missing,9,B_old_best,0.5
comp2_rate_missing,8,B_old_best,0.5
comp3_rate_percent_diff_missing,8,B_old_best,0.5
prop_brand_bool,8,B_old_best,0.5
prop_id_mean_starrating,8,B_old_best,0.5
comp6_rate_percent_diff,7,B_old_best,0.5
prop_dest_mean_review_score,6,B_old_best,0.5
comp6_inv_missing,6,B_old_best,0.5
comp4_inv,6,B_old_best,0.5
visitor_hist_starrating_missing,5,B_old_best,0.5
comp_has_any_rate_data,5,B_old_best,0.5
last_minute_booking,5,B_old_best,0.5
comp_has_any_inv_data,5,B_old_best,0.5
log_price_usd_clipped,5,B_old_best,0.5
comp5_inv_missing,5,B_old_best,0.5
comp3_rate_missing,5,B_old_best,0.5
comp8_rate_missing,5,B_old_best,0.5
comp7_inv_missing,4,B_old_best,0.5
is_5_star,4,B_old_best,0.5
comp1_rate,4,B_old_best,0.5
comp7_rate_missing,4,B_old_best,0.5
comp2_inv_missing,4,B_old_best,0.5
comp8_rate_percent_diff_missing,4,B_old_best,0.5
prop_review_score_is_zero,3,B_old_best,0.5
children_present,3,B_old_best,0.5
visitor_hist_adr_usd_missing,2,B_old_best,0.5
comp7_rate_percent_diff_missing,2,B_old_best,0.5
long_stay,2,B_old_best,0.5
prop_review_score_missing,2,B_old_best,0.5
comp1_inv,1,B_old_best,0.5
prop_id_mean_brand_bool,1,B_old_best,0.5
comp2_rate_percent_diff_missing,1,B_old_best,0.5
prop_dest_mean_starrating,1,B_old_best,0.5
log_price_usd_capped,1,B_old_best,0.5
comp8_inv_missing,1,B_old_best,0.5
comp6_rate_percent_diff_missing,0,B_old_best,0.5
comp6_rate_missing,0,B_old_best,0.5
promotion_flag,0,B_old_best,0.5
price_below_1,0,B_old_best,0.5
prop_id_std_review_score,0,B_old_best,0.5
comp4_rate_percent_diff_missing,0,B_old_best,0.5
comp4_inv_missing,0,B_old_best,0.5
comp4_rate_missing,0,B_old_best,0.5
prop_id_std_location_score1,0,B_old_best,0.5
price_is_zero,0,B_old_best,0.5
prop_id_std_starrating,0,B_old_best,0.5
multi_room,0,B_old_best,0.5
review_diff_from_prop_mean,0,B_old_best,0.5
star_diff_from_prop_mean,0,B_old_best,0.5
comp1_rate_percent_diff_missing,0,B_old_best,0.5
comp1_inv_missing,0,B_old_best,0.5
comp1_rate_missing,0,B_old_best,0.5
price_below_10,0,B_old_best,0.5
prop_starrating_is_zero,0,B_old_best,0.5
long_booking_window,0,B_old_best,0.5
