feature,weighted_importance
prop_id_mean_brand_bool,3.5
prop_dest_mean_starrating,3.5
is_5_star,2.75
comp7_rate_percent_diff_missing,2.75
comp7_inv_missing,2.75
log_price_usd_clipped,2.25
comp6_inv_missing,2.0
prop_starrating_is_zero,1.75
prop_review_score_missing,1.75
long_booking_window,1.75
comp8_inv_missing,1.5
comp6_rate_missing,1.25
comp4_rate_missing,1.0
long_stay,1.0
promotion_flag,1.0
comp4_rate_percent_diff_missing,0.75
comp1_rate_percent_diff_missing,0.75
comp4_inv_missing,0.75
comp6_rate_percent_diff_missing,0.75
comp1_inv_missing,0.5
multi_room,0.5
prop_id_std_review_score,0.0
price_is_zero,0.0
price_below_10,0.0
price_below_1,0.0
review_diff_from_prop_mean,0.0
prop_id_std_location_score1,0.0
prop_id_std_starrating,0.0
comp1_rate_missing,0.0
star_diff_from_prop_mean,0.0
