feature,importance,model,weight
prop_id_median_price,812,A_new_best,0.5
log_booking_window,772,A_new_best,0.5
prop_location_score2_missing,754,A_new_best,0.5
promotion_x_price_ratio_mean,738,A_new_best,0.5
prop_country_id,726,A_new_best,0.5
search_dayofweek,673,A_new_best,0.5
total_guests,662,A_new_best,0.5
promotion_x_price_ratio_median,631,A_new_best,0.5
srch_adults_count,627,A_new_best,0.5
log_orig_destination_distance,617,A_new_best,0.5
prop_dest_mean_location2,584,A_new_best,0.5
comp5_rate_percent_diff,559,A_new_best,0.5
children_x_review,557,A_new_best,0.5
prop_id_median_log_price,545,A_new_best,0.5
promotion_x_location1,517,A_new_best,0.5
brand_x_review,504,A_new_best,0.5
prop_id_mean_location_score1,497,A_new_best,0.5
site_dest_te_log_count,485,A_new_best,0.5
comp_same_price_count,471,A_new_best,0.5
dest_id_te_log_count,456,A_new_best,0.5
review_diff_from_search_max,445,A_new_best,0.5
brand_x_star,404,A_new_best,0.5
star_diff_from_search_max,395,A_new_best,0.5
prop_id_te_log_count,392,A_new_best,0.5
comp2_rate_percent_diff,391,A_new_best,0.5
comp5_rate,383,A_new_best,0.5
visitor_hist_starrating,378,A_new_best,0.5
prop_review_score,366,A_new_best,0.5
multiroom_x_price_ratio,346,A_new_best,0.5
visitor_prop_country_te_log_count,325,A_new_best,0.5
comp8_rate_percent_diff,309,A_new_best,0.5
prop_dest_te_log_count,276,A_new_best,0.5
comp3_rate_percent_diff,274,A_new_best,0.5
comp_pct_missing_count,256,A_new_best,0.5
price_usd_capped,240,A_new_best,0.5
promotion_x_review,229,A_new_best,0.5
comp8_rate,226,A_new_best,0.5
comp_available_count,224,A_new_best,0.5
srch_saturday_night_bool,221,A_new_best,0.5
comp_expedia_cheaper_count,214,A_new_best,0.5
comp_inv_missing_count,206,A_new_best,0.5
comp_rate_missing_count,194,A_new_best,0.5
log_length_of_stay,191,A_new_best,0.5
srch_children_count,181,A_new_best,0.5
comp2_rate,152,A_new_best,0.5
comp5_inv,141,A_new_best,0.5
comp3_rate,135,A_new_best,0.5
search_review_max,133,A_new_best,0.5
search_star_max,130,A_new_best,0.5
comp_expedia_more_expensive_count,128,A_new_best,0.5
