feature,importance,model,weight
prop_dest_mean_promotion,935,B_large_tree,0.3333333333333333
search_price_mean,934,B_large_tree,0.3333333333333333
star_minus_price_rank,899,B_large_tree,0.3333333333333333
visitor_prop_country_te_booking_rate,887,B_large_tree,0.3333333333333333
site_dest_te_relevance_mean,868,B_large_tree,0.3333333333333333
prop_id_mean_comp_rate_missing,854,B_large_tree,0.3333333333333333
prop_dest_median_price,842,B_large_tree,0.3333333333333333
srch_length_of_stay,830,B_large_tree,0.3333333333333333
dest_id_mean_log_price,812,B_large_tree,0.3333333333333333
prop_id_mean_comp_available,808,B_large_tree,0.3333333333333333
visitor_prop_country_te_relevance_mean,805,B_large_tree,0.3333333333333333
dest_id_median_price,788,B_large_tree,0.3333333333333333
dest_id_mean_price,779,B_large_tree,0.3333333333333333
hotels_in_search,762,B_large_tree,0.3333333333333333
search_log_price_mean,749,B_large_tree,0.3333333333333333
prop_dest_mean_log_price,746,B_large_tree,0.3333333333333333
prop_dest_mean_price,739,B_large_tree,0.3333333333333333
visitor_location_country_id,721,B_large_tree,0.3333333333333333
price_usd,699,B_large_tree,0.3333333333333333
children_x_price_ratio,635,B_large_tree,0.3333333333333333
prop_id_mean_price,633,B_large_tree,0.3333333333333333
prop_id_mean_log_price,626,B_large_tree,0.3333333333333333
visitor_hist_adr_usd,578,B_large_tree,0.3333333333333333
site_id,569,B_large_tree,0.3333333333333333
promotion_x_location2,560,B_large_tree,0.3333333333333333
prop_id_median_price,529,B_large_tree,0.3333333333333333
prop_country_id,523,B_large_tree,0.3333333333333333
search_month,522,B_large_tree,0.3333333333333333
log_booking_window,518,B_large_tree,0.3333333333333333
prop_location_score2_missing,462,B_large_tree,0.3333333333333333
promotion_x_price_ratio_mean,442,B_large_tree,0.3333333333333333
srch_query_affinity_score,441,B_large_tree,0.3333333333333333
search_dayofweek,435,B_large_tree,0.3333333333333333
log_orig_destination_distance,430,B_large_tree,0.3333333333333333
prop_dest_mean_location2,419,B_large_tree,0.3333333333333333
total_guests,381,B_large_tree,0.3333333333333333
promotion_x_price_ratio_median,368,B_large_tree,0.3333333333333333
comp5_rate_percent_diff,357,B_large_tree,0.3333333333333333
children_x_review,351,B_large_tree,0.3333333333333333
prop_id_mean_location_score1,341,B_large_tree,0.3333333333333333
srch_adults_count,336,B_large_tree,0.3333333333333333
promotion_x_location1,333,B_large_tree,0.3333333333333333
brand_x_review,329,B_large_tree,0.3333333333333333
prop_id_median_log_price,327,B_large_tree,0.3333333333333333
review_diff_from_search_max,319,B_large_tree,0.3333333333333333
comp_same_price_count,298,B_large_tree,0.3333333333333333
site_dest_te_log_count,273,B_large_tree,0.3333333333333333
star_diff_from_search_max,264,B_large_tree,0.3333333333333333
brand_x_star,257,B_large_tree,0.3333333333333333
comp2_rate_percent_diff,256,B_large_tree,0.3333333333333333
prop_review_score,255,B_large_tree,0.3333333333333333
dest_id_te_log_count,250,B_large_tree,0.3333333333333333
visitor_hist_starrating,232,B_large_tree,0.3333333333333333
multiroom_x_price_ratio,230,B_large_tree,0.3333333333333333
prop_id_te_log_count,218,B_large_tree,0.3333333333333333
comp5_rate,201,B_large_tree,0.3333333333333333
prop_dest_te_log_count,183,B_large_tree,0.3333333333333333
comp8_rate_percent_diff,169,B_large_tree,0.3333333333333333
comp_inv_missing_count,166,B_large_tree,0.3333333333333333
comp3_rate_percent_diff,164,B_large_tree,0.3333333333333333
promotion_x_review,154,B_large_tree,0.3333333333333333
comp_pct_missing_count,153,B_large_tree,0.3333333333333333
visitor_prop_country_te_log_count,145,B_large_tree,0.3333333333333333
price_usd_capped,135,B_large_tree,0.3333333333333333
comp_rate_missing_count,127,B_large_tree,0.3333333333333333
comp_expedia_cheaper_count,126,B_large_tree,0.3333333333333333
comp_available_count,115,B_large_tree,0.3333333333333333
comp8_rate,114,B_large_tree,0.3333333333333333
srch_children_count,114,B_large_tree,0.3333333333333333
comp2_rate,107,B_large_tree,0.3333333333333333
log_length_of_stay,106,B_large_tree,0.3333333333333333
search_review_max,103,B_large_tree,0.3333333333333333
srch_saturday_night_bool,97,B_large_tree,0.3333333333333333
promotion_x_star,88,B_large_tree,0.3333333333333333
search_star_max,85,B_large_tree,0.3333333333333333
is_4_star,84,B_large_tree,0.3333333333333333
prop_starrating,81,B_large_tree,0.3333333333333333
domestic_search,77,B_large_tree,0.3333333333333333
comp_expedia_more_expensive_count,75,B_large_tree,0.3333333333333333
comp3_rate,71,B_large_tree,0.3333333333333333
comp5_inv,62,B_large_tree,0.3333333333333333
search_quarter,60,B_large_tree,0.3333333333333333
comp2_inv,58,B_large_tree,0.3333333333333333
multiroom_x_review,56,B_large_tree,0.3333333333333333
comp8_inv,55,B_large_tree,0.3333333333333333
comp3_inv,53,B_large_tree,0.3333333333333333
orig_destination_distance_missing,38,B_large_tree,0.3333333333333333
comp_unavailable_count,37,B_large_tree,0.3333333333333333
prop_id_mean_review_score,31,B_large_tree,0.3333333333333333
comp7_rate_percent_diff,31,B_large_tree,0.3333333333333333
comp7_rate,27,B_large_tree,0.3333333333333333
comp_no_inv_data_count,23,B_large_tree,0.3333333333333333
location1_diff_from_prop_mean,22,B_large_tree,0.3333333333333333
price_usd_clipped,19,B_large_tree,0.3333333333333333
comp6_inv,18,B_large_tree,0.3333333333333333
comp4_rate,18,B_large_tree,0.3333333333333333
comp4_rate_percent_diff,18,B_large_tree,0.3333333333333333
comp_no_rate_data_count,17,B_large_tree,0.3333333333333333
comp6_rate,16,B_large_tree,0.3333333333333333
comp7_inv,16,B_large_tree,0.3333333333333333
comp5_rate_percent_diff_missing,14,B_large_tree,0.3333333333333333
prop_brand_bool,12,B_large_tree,0.3333333333333333
prop_id_mean_starrating,11,B_large_tree,0.3333333333333333
high_review_score,11,B_large_tree,0.3333333333333333
comp_has_any_pct_data,10,B_large_tree,0.3333333333333333
comp3_rate_percent_diff_missing,9,B_large_tree,0.3333333333333333
comp4_inv,9,B_large_tree,0.3333333333333333
search_is_weekend,9,B_large_tree,0.3333333333333333
comp3_rate_missing,9,B_large_tree,0.3333333333333333
comp6_rate_percent_diff,9,B_large_tree,0.3333333333333333
comp5_rate_missing,9,B_large_tree,0.3333333333333333
srch_room_count,9,B_large_tree,0.3333333333333333
srch_query_affinity_score_missing,8,B_large_tree,0.3333333333333333
comp1_rate_percent_diff,8,B_large_tree,0.3333333333333333
comp3_inv_missing,7,B_large_tree,0.3333333333333333
log_price_usd,7,B_large_tree,0.3333333333333333
comp2_rate_percent_diff_missing,7,B_large_tree,0.3333333333333333
comp8_rate_missing,7,B_large_tree,0.3333333333333333
comp8_rate_percent_diff_missing,7,B_large_tree,0.3333333333333333
comp1_rate,6,B_large_tree,0.3333333333333333
comp5_inv_missing,5,B_large_tree,0.3333333333333333
log_price_usd_clipped,5,B_large_tree,0.3333333333333333
comp7_inv_missing,5,B_large_tree,0.3333333333333333
last_minute_booking,4,B_large_tree,0.3333333333333333
comp_has_any_rate_data,4,B_large_tree,0.3333333333333333
prop_review_score_is_zero,4,B_large_tree,0.3333333333333333
visitor_hist_starrating_missing,4,B_large_tree,0.3333333333333333
prop_dest_mean_review_score,4,B_large_tree,0.3333333333333333
log_price_usd_capped,3,B_large_tree,0.3333333333333333
prop_dest_mean_starrating,3,B_large_tree,0.3333333333333333
multi_room,3,B_large_tree,0.3333333333333333
children_present,3,B_large_tree,0.3333333333333333
comp1_inv_missing,2,B_large_tree,0.3333333333333333
prop_review_score_missing,2,B_large_tree,0.3333333333333333
comp2_rate_missing,2,B_large_tree,0.3333333333333333
comp6_inv_missing,2,B_large_tree,0.3333333333333333
comp7_rate_missing,2,B_large_tree,0.3333333333333333
prop_id_mean_brand_bool,2,B_large_tree,0.3333333333333333
comp8_inv_missing,2,B_large_tree,0.3333333333333333
comp1_inv,2,B_large_tree,0.3333333333333333
comp6_rate_missing,1,B_large_tree,0.3333333333333333
is_5_star,1,B_large_tree,0.3333333333333333
long_stay,1,B_large_tree,0.3333333333333333
comp2_inv_missing,1,B_large_tree,0.3333333333333333
comp1_rate_percent_diff_missing,1,B_large_tree,0.3333333333333333
