feature,importance,model,weight
comp8_rate_percent_diff,288,A_best_single,0.25
comp5_rate,265,A_best_single,0.25
comp_pct_missing_count,248,A_best_single,0.25
comp3_rate_percent_diff,245,A_best_single,0.25
multiroom_x_price_ratio,238,A_best_single,0.25
promotion_x_review,230,A_best_single,0.25
price_usd_capped,227,A_best_single,0.25
comp_inv_missing_count,195,A_best_single,0.25
comp_available_count,179,A_best_single,0.25
comp_expedia_cheaper_count,154,A_best_single,0.25
srch_saturday_night_bool,154,A_best_single,0.25
comp_rate_missing_count,154,A_best_single,0.25
log_length_of_stay,152,A_best_single,0.25
comp5_inv,149,A_best_single,0.25
domestic_search,146,A_best_single,0.25
srch_children_count,141,A_best_single,0.25
prop_starrating,133,A_best_single,0.25
promotion_x_star,130,A_best_single,0.25
search_review_max,127,A_best_single,0.25
comp8_rate,127,A_best_single,0.25
search_star_max,127,A_best_single,0.25
is_4_star,125,A_best_single,0.25
comp_expedia_more_expensive_count,116,A_best_single,0.25
comp3_rate,106,A_best_single,0.25
comp2_inv,96,A_best_single,0.25
multiroom_x_review,87,A_best_single,0.25
comp2_rate,86,A_best_single,0.25
comp3_inv,68,A_best_single,0.25
comp8_inv,67,A_best_single,0.25
comp_unavailable_count,58,A_best_single,0.25
location1_diff_from_prop_mean,57,A_best_single,0.25
orig_destination_distance_missing,57,A_best_single,0.25
prop_id_mean_review_score,57,A_best_single,0.25
search_quarter,56,A_best_single,0.25
comp7_rate_percent_diff,53,A_best_single,0.25
price_usd_clipped,52,A_best_single,0.25
srch_query_affinity_score_missing,43,A_best_single,0.25
comp_no_inv_data_count,42,A_best_single,0.25
comp7_rate,36,A_best_single,0.25
comp4_rate_percent_diff,29,A_best_single,0.25
comp7_inv,26,A_best_single,0.25
comp4_rate,25,A_best_single,0.25
comp6_rate,24,A_best_single,0.25
prop_brand_bool,24,A_best_single,0.25
log_price_usd,23,A_best_single,0.25
comp5_rate_missing,21,A_best_single,0.25
comp_has_any_pct_data,16,A_best_single,0.25
comp5_rate_percent_diff_missing,16,A_best_single,0.25
comp6_inv,16,A_best_single,0.25
comp4_inv,16,A_best_single,0.25
comp_no_rate_data_count,16,A_best_single,0.25
search_is_weekend,15,A_best_single,0.25
high_review_score,14,A_best_single,0.25
comp1_rate_percent_diff,14,A_best_single,0.25
prop_id_mean_starrating,13,A_best_single,0.25
comp6_rate_percent_diff,13,A_best_single,0.25
comp3_rate_percent_diff_missing,12,A_best_single,0.25
last_minute_booking,12,A_best_single,0.25
comp1_rate,9,A_best_single,0.25
comp_has_any_inv_data,9,A_best_single,0.25
visitor_hist_starrating_missing,9,A_best_single,0.25
children_present,8,A_best_single,0.25
comp2_rate_percent_diff_missing,8,A_best_single,0.25
srch_room_count,8,A_best_single,0.25
prop_dest_mean_review_score,8,A_best_single,0.25
prop_review_score_is_zero,7,A_best_single,0.25
comp2_inv_missing,7,A_best_single,0.25
comp3_rate_missing,6,A_best_single,0.25
prop_id_mean_brand_bool,5,A_best_single,0.25
comp8_rate_percent_diff_missing,5,A_best_single,0.25
comp_has_any_rate_data,5,A_best_single,0.25
comp8_rate_missing,5,A_best_single,0.25
comp2_rate_missing,5,A_best_single,0.25
comp1_inv,4,A_best_single,0.25
comp3_inv_missing,4,A_best_single,0.25
visitor_hist_adr_usd_missing,4,A_best_single,0.25
log_price_usd_capped,3,A_best_single,0.25
is_5_star,3,A_best_single,0.25
prop_starrating_is_zero,3,A_best_single,0.25
comp5_inv_missing,3,A_best_single,0.25
comp6_inv_missing,3,A_best_single,0.25
comp4_inv_missing,2,A_best_single,0.25
comp4_rate_percent_diff_missing,2,A_best_single,0.25
comp6_rate_missing,2,A_best_single,0.25
comp7_rate_missing,2,A_best_single,0.25
prop_dest_mean_starrating,2,A_best_single,0.25
comp7_rate_percent_diff_missing,2,A_best_single,0.25
comp7_inv_missing,2,A_best_single,0.25
comp8_inv_missing,2,A_best_single,0.25
long_booking_window,2,A_best_single,0.25
comp1_rate_percent_diff_missing,2,A_best_single,0.25
promotion_flag,1,A_best_single,0.25
comp4_rate_missing,1,A_best_single,0.25
long_stay,1,A_best_single,0.25
comp6_rate_percent_diff_missing,1,A_best_single,0.25
prop_review_score_missing,1,A_best_single,0.25
log_price_usd_clipped,1,A_best_single,0.25
price_is_zero,0,A_best_single,0.25
price_below_1,0,A_best_single,0.25
price_below_10,0,A_best_single,0.25
star_diff_from_prop_mean,0,A_best_single,0.25
comp1_rate_missing,0,A_best_single,0.25
review_diff_from_prop_mean,0,A_best_single,0.25
comp1_inv_missing,0,A_best_single,0.25
multi_room,0,A_best_single,0.25
prop_id_std_location_score1,0,A_best_single,0.25
prop_id_std_review_score,0,A_best_single,0.25
prop_id_std_starrating,0,A_best_single,0.25
